86, 180, 39, 0
19, 209, 221, 0
64, 88, 126, 1
30, 221, 149, 0
61, 47, 120, 1
124, 94, 40, 1
168, 98, 170, 0
251, 166, 183, 0
129, 201, 114, 0
90, 40, 162, 1
188, 155, 189, 0
17, 24, 125, 1
245, 103, 221, 0
77, 155, 8, 1
48, 206, 92, 0
222, 64, 201, 0
192, 131, 236, 0
83, 231, 121, 0
248, 136, 162, 0
125, 162, 57, 0
103, 221, 36, 0
91, 241, 59, 0
101, 198, 59, 0
202, 80, 176, 0
36, 246, 5, 0
197, 36, 49, 1
242, 72, 103, 0
211, 230, 104, 0
216, 204, 239, 0
70, 196, 112, 0
49, 30, 34, 1
241, 217, 144, 0
56, 47, 8, 1
28, 229, 55, 0
28, 248, 165, 0
191, 152, 212, 0
7, 60, 126, 1
104, 145, 144, 0
64, 212, 10, 0
85, 245, 73, 0
147, 201, 25, 0
198, 189, 232, 0
129, 242, 59, 0
109, 108, 143, 1
179, 74, 94, 1
216, 197, 248, 0
113, 204, 125, 0
244, 20, 60, 1
246, 244, 174, 0
229, 216, 47, 0
250, 232, 70, 0
23, 237, 209, 0
209, 200, 60, 0
199, 36, 135, 1
209, 71, 150, 1
73, 91, 207, 1
124, 44, 43, 1
199, 177, 249, 0
114, 71, 167, 1
109, 222, 48, 0
189, 48, 192, 1
157, 53, 114, 1
164, 184, 141, 0
139, 138, 210, 0
91, 86, 125, 1
54, 72, 247, 1
54, 123, 160, 1
63, 36, 168, 1
1, 212, 246, 0
245, 76, 239, 0
129, 106, 91, 1
77, 115, 43, 1
177, 166, 85, 0
21, 111, 46, 1
90, 237, 116, 0
133, 68, 237, 1
46, 123, 205, 1
221, 25, 51, 1
254, 105, 228, 0
230, 1, 76, 1
100, 207, 233, 0
205, 167, 214, 0
175, 233, 35, 0
172, 124, 146, 0
195, 51, 156, 1
242, 79, 180, 0
113, 75, 189, 1
172, 206, 143, 0
20, 17, 70, 1
15, 138, 151, 1
67, 59, 173, 1
58, 89, 0, 1
169, 132, 69, 0
193, 87, 201, 0
174, 190, 246, 0
247, 208, 197, 0
150, 130, 179, 0
214, 198, 120, 0
119, 50, 116, 1
61, 235, 56, 0
50, 235, 93, 0
122, 144, 16, 1
112, 107, 124, 1
133, 139, 172, 0
138, 195, 40, 0
87, 44, 66, 1
161, 99, 151, 0
16, 133, 234, 1
180, 172, 102, 0
254, 167, 166, 0
63, 162, 9, 1
154, 90, 170, 1
243, 104, 207, 0
153, 67, 22, 1
64, 72, 239, 1
105, 9, 222, 1
182, 232, 31, 0
172, 247, 183, 0
235, 231, 32, 0
127, 198, 219, 0
108, 196, 151, 0
5, 0, 99, 1
63, 37, 153, 1
61, 74, 164, 1
159, 147, 217, 0
140, 1, 208, 1
151, 56, 163, 1
72, 242, 111, 0
101, 128, 92, 1
38, 117, 170, 1
203, 68, 137, 1
239, 252, 158, 0
5, 168, 108, 1
194, 231, 15, 0
215, 52, 109, 1
114, 140, 84, 0
243, 250, 145, 0
81, 166, 10, 1
178, 126, 180, 0
215, 180, 207, 0
124, 65, 39, 1
82, 11, 148, 1
220, 139, 131, 0
73, 87, 56, 1
177, 131, 144, 0
11, 225, 163, 0
92, 149, 71, 1
141, 243, 12, 0
134, 107, 228, 0
185, 168, 86, 0
43, 194, 82, 0
32, 68, 85, 1
172, 91, 99, 1
73, 38, 205, 1
71, 218, 109, 0
138, 75, 98, 1
8, 91, 33, 1
210, 141, 179, 0
106, 65, 3, 1
223, 26, 14, 1
230, 16, 44, 1
127, 41, 16, 1
35, 45, 43, 1
34, 10, 107, 1
202, 101, 168, 0
138, 92, 221, 1
194, 182, 212, 0
93, 167, 91, 0
228, 27, 152, 1
124, 88, 253, 1
112, 64, 193, 1
188, 125, 217, 0
157, 81, 84, 1
227, 95, 20, 1
194, 200, 18, 0
0, 20, 140, 1
78, 92, 228, 1
24, 249, 206, 0
179, 53, 167, 1
108, 65, 97, 1
118, 238, 207, 0
209, 236, 173, 0
94, 23, 136, 1
194, 44, 78, 1
29, 92, 239, 1
174, 89, 86, 1
60, 5, 146, 1
75, 24, 109, 1
169, 141, 124, 0
216, 217, 114, 0
247, 10, 162, 1
119, 211, 146, 0
220, 101, 93, 0
114, 126, 192, 0
241, 185, 139, 0
49, 105, 34, 1
181, 50, 213, 1
133, 125, 193, 0
130, 248, 250, 0
97, 244, 49, 0
248, 228, 71, 0
133, 251, 41, 0
63, 250, 153, 0
177, 176, 57, 0
21, 167, 241, 0
51, 196, 16, 0
164, 150, 150, 0
33, 15, 114, 1
159, 160, 137, 0
105, 75, 120, 1
127, 223, 243, 0
111, 24, 159, 1
170, 220, 10, 0
33, 86, 173, 1
247, 52, 33, 1
236, 197, 208, 0
172, 67, 12, 1
186, 181, 148, 0
134, 34, 211, 1
189, 147, 240, 0
182, 17, 150, 1
86, 72, 98, 1
84, 214, 54, 0
152, 144, 160, 0
174, 169, 171, 0
66, 83, 103, 1
48, 15, 189, 1
143, 147, 58, 0
94, 208, 254, 0
217, 220, 212, 0
44, 146, 203, 0
239, 110, 118, 0
239, 12, 171, 1
204, 145, 172, 0
135, 86, 246, 1
62, 189, 144, 0
195, 69, 203, 0
179, 222, 197, 0
119, 64, 25, 1
98, 44, 231, 1
29, 115, 187, 1
221, 212, 147, 0
120, 162, 242, 0
146, 69, 244, 1
45, 81, 252, 1
72, 251, 24, 0
47, 253, 24, 0
248, 62, 23, 1
